,名前,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,路線,駅,ruizido
1,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,大崎駅,0.0531611326463418
2,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,大崎駅,0.0531611326463418
11,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,五反田駅,0.0531611326463418
12,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,五反田駅,0.0531611326463418
30,ＪＲ山手線 大崎駅 地下2地上44階建 築13年,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,大崎駅,0.0531611326463418
33,ＪＲ山手線 大崎駅 地下2地上44階建 築13年,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,10階,25万円,18000円,25万円,25万円,3LDK,79.5m2,ＪＲ山手線,五反田駅,0.0531611326463418
462,Brillia Towers目黒ノースレジデンス,賃貸マンション,東京都品川区上大崎３,ＪＲ山手線/目黒駅 歩1分,築5年,40階建,23階,47万円,20000円,47万円,47万円,3LDK,68.84m2,ＪＲ山手線,目黒駅,-0.16274675128717628
385,パークシティ大崎　ザ　タワー,賃貸マンション,東京都品川区北品川５,ＪＲ山手線/大崎駅 歩6分,築8年,地下2地上40階建,6階,37.2万円,0円,37.2万円,74.4万円,3LDK,69.92m2,ＪＲ山手線,大崎駅,-0.17821596529910244
32,ＪＲ山手線 大崎駅 地下2地上44階建 築13年,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,32階,33万円,15000円,66万円,33万円,3LDK,74.14m2,ＪＲ山手線,大崎駅,-0.4326090068905681
35,ＪＲ山手線 大崎駅 地下2地上44階建 築13年,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,32階,33万円,15000円,66万円,33万円,3LDK,74.14m2,ＪＲ山手線,五反田駅,-0.4326090068905681
387,パークシティ大崎　ザ　タワー,賃貸マンション,東京都品川区北品川５,ＪＲ山手線/大崎駅 歩6分,築8年,地下2地上40階建,31階,50万円,0円,100万円,50万円,3LDK,83.74m2,ＪＲ山手線,大崎駅,-0.44047436666551004
6,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,32階,33万円,15000円,33万円,33万円,3LDK,74.14m2,ＪＲ山手線,大崎駅,-0.45805849413731536
16,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,32階,33万円,15000円,33万円,33万円,3LDK,74.14m2,ＪＲ山手線,五反田駅,-0.45805849413731536
8,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/大崎駅 歩6分,築13年,地下2地上44階建,41階,42万円,20000円,42万円,42万円,3LDK,81.72m2,ＪＲ山手線,大崎駅,-0.5477820633435437
18,パークタワーグランスカイ,賃貸マンション,東京都品川区東五反田２,ＪＲ山手線/五反田駅 歩6分,築13年,地下2地上44階建,41階,42万円,20000円,42万円,42万円,3LDK,81.72m2,ＪＲ山手線,五反田駅,-0.5477820633435437
